Gas,"NFR/CRF Group",Source,Activity,Units,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon Dioxide as Carbon",1A1ciii,"Nuclear fuel production","Natural gas",kilotonne,20.8699596615427,24.5771022326997,25.2203396865677,28.1042676240556,27.4107873692471,23.3269796568765,43.7556008996065,46.3265281410411,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Carbon Dioxide as Carbon",1A2a,"Iron and steel - combustion plant",Coal,kilotonne,8.46249987,6.336489107205,4.22432607147,9.2318821498475,10.02729302778,6.1391589966,2.287567578495,0.572497975075168,3.32284257931044,5.49828771497742,2.09569564348978,0.74428736501596,-,-,-,-,0.74059695832,55.544771874,51.1308140024128,44.3765697425344,47.6129784503928,38.9702119467984,37.4816120605752,39.3849462434576,40.1699790192768,32.8899109189912,25.661684605788,24.4545115637264,24.698908559972,17.21887928094,22.40305798918,15.2044555543096,19.6702552129792
"Carbon Dioxide as Carbon",1A2a,"Iron and steel - combustion plant",Coke,kilotonne,193.544897009081,164.024373968195,171.252987448636,148.189542288681,53.6664470266457,11.5815464526923,20.539796675974,33.1948684249896,19.2007556929474,14.610519870459,16.0218585115618,26.1490007920334,22.9344599684586,17.9728432305525,17.5712334230562,17.9856886917238,21.2020005633667,19.1787055846139,11.1925908373538,5.50433729024532,5.80040372244596,5.8900311387178,10.3054398629456,10.5407897909334,11.6164809269832,11.8914783760863,9.75939210841032,5.79391479865333,1.72713038600128,2.99981974843147,3.6327057298962,3.8438862310421,2.69244825041728
"Carbon Dioxide as Carbon",1A2a,"Iron and steel - combustion plant","Fuel oil",kilotonne,97.6885999220577,134.286568355417,130.634079890881,269.032731488699,237.413239672643,219.494390491038,70.8435000000001,100.7748,203.346539659007,300.927392549736,239.520357789602,275.538778140969,218.824797457467,116.910145297427,133.763546110957,114.095754346482,104.09061468473,139.469000221015,116.786444337782,125.319305255539,48.4209717520661,25.7308641976427,22.5523644244105,11.3613335294118,9.79831987593051,19.545958018526,10.1012397348742,9.95867405405404,12.8985425074184,10.9631734317343,15.3456289694657,18.8619991525423,20.6866551674641
"Carbon Dioxide as Carbon",1A2a,"Iron and steel - combustion plant","Gas oil",kilotonne,25.3795903103431,26.3910911641486,26.4346429640196,26.1072613036449,25.1025195110256,23.4628363551871,25.7956483504089,25.3503840631311,26.97,22.1163071985458,60.4619514853369,8.69636683942455,8.99197375739604,10.5630887262688,9.9375885792863,8.64651257927944,7.86080110218624,4.66714134425222,2.55945996809049,2.01119157628375,2.81090426993554,1.92903728974991,1.83392684634737,2.31675093521084,2.75380464962232,3.18439833512913,2.36691832555484,2.25165157327365,2.53446724179314,2.19836389530366,2.11584132055454,2.94552501487842,3.66487936285932
"Carbon Dioxide as Carbon",1A2a,"Iron and steel - combustion plant",LPG,kilotonne,8.14344918948057,8.1440796354966,5.90578051446979,5.90578051446979,8.1440796354966,7.96883272999239,4.89301742328696,13.6860653811103,16.7910167106842,16.7881889183286,19.1243544641612,-,7.95756860867774,-,-,-,-,-,3.47938135216851,2.89191758375067,1.25442383491626,-,1.76160855944663,0.592524683254428,2.37054016202681,1.77765325892034,0.488011261743794,0.599931840876964,0.888448701339836,1.38487067657972,0.888557687955239,0.792704073990127,0.744817095236712
"Carbon Dioxide as Carbon",1A2a,"Iron and steel - combustion plant","Natural gas",kilotonne,660.94536007766,612.097529033824,678.830012704285,761.757569296844,995.958499612789,998.414709596677,1059.29606342651,1032.78544914215,1011.66134225263,1100.05516197955,457.867875679726,438.601237949058,452.89619232899,528.339097397214,510.137360589838,446.634626370356,443.256903430524,388.691708132242,387.408356941802,288.570571164649,327.428513614356,312.370901506693,275.040399005672,288.229390244066,293.709365839824,289.353307462573,246.067791830839,240.719624011118,249.935125942255,249.053602878563,256.905781509393,272.702234307245,269.593641064672
"Carbon Dioxide as Carbon",1A2b,Autogenerators,Coal,kilotonne,629.932795680928,673.00027964326,637.866370132458,784.957423159397,676.808409791482,712.52767799518,931.797605692823,896.989074445678,936.592619546098,753.489927082109,655.393578696035,702.508434359875,734.066944287554,620.761795033704,629.696343945804,669.880195352328,652.986469888812,567.135276617921,536.444908179393,445.104271703322,426.515542609181,428.054998728549,343.763795320276,11.7216915193657,6.67112893637617,6.4222824302208,5.23352456741004,4.87556373364941,5.35714142810062,4.27176103097624,4.19170927270672,3.28107237005261,3.33322919823649
"Carbon Dioxide as Carbon",1A2b,"Autogeneration - exported to grid",Coal,kilotonne,238.197923799162,232.021532782528,242.759719538924,428.878538279528,368.042545251046,266.276320321997,310.599201897608,298.996358148559,230.236949268478,195.563189827252,199.051735336464,273.844091329295,215.753745362126,312.225845915432,248.484223273852,207.146980203417,248.202179198816,312.706846243105,367.618118742653,407.226152336018,333.996645579906,335.539483013292,292.900557477795,8.06375978124526,4.53484333034423,5.13668095435142,4.12373150581509,3.60818889539997,4.03601204693995,3.48207776115916,3.33477930793089,2.85738334038791,3.39155074185625
"Carbon Dioxide as Carbon",1A2b,"Non-Ferrous Metal (combustion)",Coal,kilotonne,49.8019830377447,186.670516928391,173.427000524688,189.959845292966,165.822980839086,144.526281265277,120.6337937896,68.3622460117756,60.0462108385003,95.8534079311486,44.7961453727516,43.3670808003597,63.8228954564257,43.6489798968871,29.2024143435384,34.1443559302469,47.9701523361343,32.6932820033684,30.6987568579545,27.6574921834373,25.725545799103,24.1059664148951,23.2517551587485,23.2212169985715,25.6520545486587,23.2090017345007,21.0713305221125,19.7664613132835,18.2459642891848,16.4213678602663,14.6575913123118,17.6377654795453,18.5500636940045
"Carbon Dioxide as Carbon",1A2b,"Non-Ferrous Metal (combustion)","Fuel oil",kilotonne,27.744,46.872,47.5750000000001,32.8700000000001,44.1150000000001,33.7350000000001,21.625,23.436,14.807,13.984,8.38250000000002,30.75625,29.87062,21.096,20.7480892400094,20.8449680122486,25.2342102153394,22.8552430736209,0.81747,0.826259999999999,0.879000000000001,0.9669,0.37797,0.39555,0.40434,0.29007,0.29007,0.290069999999999,0.325230000000001,0.32523,0.29007,0.281279999999999,0.28128
"Carbon Dioxide as Carbon",1A2b,"Non-Ferrous Metal (combustion)","Gas oil",kilotonne,18.0113221557273,18.7291614713313,18.760069200272,18.5277338283931,17.8146912658891,16.6510451552941,18.3065891519031,17.9905951415769,19.14,19.14,24.9864,35.7918000000001,32.5189876507631,18.3657,10.9886528403932,24.1077,13.0199717953415,9.35562968051681,0.373376500969504,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Carbon Dioxide as Carbon",1A2b,"Non-Ferrous Metal (combustion)","Natural gas",kilotonne,223.486605949079,223.027292639882,187.762450186219,204.489635756623,225.216996584778,214.438380443192,242.808540461202,231.983979488508,278.364115125999,280.472619101151,297.05525196057,285.428499855426,265.148115655568,241.513454423136,172.193476533292,170.381905458999,167.185732329998,154.992387158005,143.89042047488,113.909369250437,117.500613567069,117.993726616324,123.03335825668,120.303553338691,114.806000965391,165.386376168037,156.645912841207,162.087328661322,170.713979086292,157.805690906055,151.812678256477,154.954453281292,158.511330694622
